Entry,Entry name,Status,Protein names,Gene names,Length
Q92736,RYR2_HUMAN,reviewed,Ryanodine receptor 2 (RYR-2) (RyR2) (hRYR-2) (Cardiac muscle ryanodine receptor) (Cardiac muscle ryanodine receptor-calcium release channel) (Type 2 ryanodine receptor),RYR2,4967
Q8NEZ4,KMT2C_HUMAN,reviewed,Histone-lysine N-methyltransferase 2C (Lysine N-methyltransferase 2C) (EC 2.1.1.364) (Homologous to ALR protein) (Myeloid/lymphoid or mixed-lineage leukemia protein 3),KMT2C HALR KIAA1506 MLL3,4911
Q15413,RYR3_HUMAN,reviewed,Ryanodine receptor 3 (RYR-3) (RyR3) (Brain ryanodine receptor-calcium release channel) (Brain-type ryanodine receptor) (Type 3 ryanodine receptor),RYR3 HBRR,4870
Q15751,HERC1_HUMAN,reviewed,Probable E3 ubiquitin-protein ligase HERC1 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 1) (HECT-type E3 ubiquitin transferase HERC1) (p532) (p619),HERC1,4861
Q9NR09,BIRC6_HUMAN,reviewed,Baculoviral IAP repeat-containing protein 6 (EC 2.3.2.27) (BIR repeat-containing ubiquitin-conjugating enzyme) (BRUCE) (RING-type E3 ubiquitin transferase BIRC6) (Ubiquitin-conjugating BIR domain enzyme apollon) (APOLLON),BIRC6 KIAA1289,4857
O95714,HERC2_HUMAN,reviewed,E3 ubiquitin-protein ligase HERC2 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 2) (HECT-type E3 ubiquitin transferase HERC2),HERC2,4834
Q15149,PLEC_HUMAN,reviewed,Plectin (PCN) (PLTN) (Hemidesmosomal protein 1) (HD1) (Plectin-1),PLEC PLEC1,4684
O75592,MYCB2_HUMAN,reviewed,E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.33) (Myc-binding protein 2) (Protein associated with Myc),MYCBP2 KIAA0916 PAM,4678
P98164,LRP2_HUMAN,reviewed,Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin),LRP2,4655
Q14204,DYHC1_HUMAN,reviewed,"Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)",DYNC1H1 DHC1 DNCH1 DNCL DNECL DYHC KIAA0325,4646
Q9NZJ4,SACS_HUMAN,reviewed,Sacsin (DnaJ homolog subfamily C member 29) (DNAJC29),SACS KIAA0730,4579
P08519,APOA_HUMAN,reviewed,Apolipoprotein(a) (Apo(a)) (Lp(a)) (EC 3.4.21.-),LPA,4548
Q07954,LRP1_HUMAN,reviewed,Prolow-density lipoprotein receptor-related protein 1 (LRP-1) (Alpha-2-macroglobulin receptor) (A2MR) (Apolipoprotein E receptor) (APOER) (CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subunit (LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subunit (LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domain (LRPICD)],LRP1 A2MR APR,4544
P98160,PGBM_HUMAN,reviewed,Basement membrane-specific heparan sulfate proteoglycan core protein (HSPG) (Perlecan) (PLC) [Cleaved into: Endorepellin; LG3 peptide],HSPG2,4391
Q12955,ANK3_HUMAN,reviewed,Ankyrin-3 (ANK-3) (Ankyrin-G),ANK3,4377
Q7Z6Z7,HUWE1_HUMAN,reviewed,"E3 ubiquitin-protein ligase HUWE1 (EC 2.3.2.26) (ARF-binding protein 1) (ARF-BP1) (HECT, UBA and WWE domain-containing protein 1) (HECT-type E3 ubiquitin transferase HUWE1) (Homologous to E6AP carboxyl terminus homologous protein 9) (HectH9) (Large structure of UREB1) (LASU1) (Mcl-1 ubiquitin ligase E3) (Mule) (Upstream regulatory element-binding protein 1) (URE-B1) (URE-binding protein 1)",HUWE1 KIAA0312 KIAA1578 UREB1 HSPC272,4374
Q8NCM8,DYHC2_HUMAN,reviewed,Cytoplasmic dynein 2 heavy chain 1 (Cytoplasmic dynein 2 heavy chain) (Dynein cytoplasmic heavy chain 2) (Dynein heavy chain 11) (hDHC11) (Dynein heavy chain isotype 1B),DYNC2H1 DHC1B DHC2 DNCH2 DYH1B KIAA1997,4307
P98161,PKD1_HUMAN,reviewed,Polycystin-1 (PC1) (Autosomal dominant polycystic kidney disease 1 protein),PKD1,4303
P22105,TENX_HUMAN,reviewed,Tenascin-X (TN-X) (Hexabrachion-like protein),TNXB HXBL TNX TNXB1 TNXB2 XB,4244
P78527,PRKDC_HUMAN,reviewed,DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1) (DNPK1) (p460),PRKDC HYRC HYRC1,4128
P20930,FILA_HUMAN,reviewed,Filaggrin,FLG,4061
Q8WXX0,DYH7_HUMAN,reviewed,Dynein axonemal heavy chain 7 (Axonemal beta dynein heavy chain 7) (Ciliary dynein heavy chain 7) (Dynein heavy chain-like protein 2) (hDHC2),DNAH7 KIAA0944,4024
Q03164,KMT2A_HUMAN,reviewed,Histone-lysine N-methyltransferase 2A (Lysine N-methyltransferase 2A) (EC 2.1.1.364) (ALL-1) (CXXC-type zinc finger protein 7) (Cysteine methyltransferase KMT2A) (EC 2.1.1.-) (Myeloid/lymphoid or mixed-lineage leukemia) (Myeloid/lymphoid or mixed-lineage leukemia protein 1) (Trithorax-like protein) (Zinc finger protein HRX) [Cleaved into: MLL cleavage product N320 (N-terminal cleavage product of 320 kDa) (p320); MLL cleavage product C180 (C-terminal cleavage product of 180 kDa) (p180)],KMT2A ALL1 CXXC7 HRX HTRX MLL MLL1 TRX1,3969
Q01484,ANK2_HUMAN,reviewed,Ankyrin-2 (ANK-2) (Ankyrin-B) (Brain ankyrin) (Non-erythroid ankyrin),ANK2 ANKB,3957
Q15911,ZFHX3_HUMAN,reviewed,Zinc finger homeobox protein 3 (AT motif-binding factor 1) (AT-binding transcription factor 1) (Alpha-fetoprotein enhancer-binding protein) (Zinc finger homeodomain protein 3) (ZFH-3),ZFHX3 ATBF1 C16orf47,3703
O15230,LAMA5_HUMAN,reviewed,Laminin subunit alpha-5 (Laminin-10 subunit alpha) (Laminin-11 subunit alpha) (Laminin-15 subunit alpha),LAMA5 KIAA0533 KIAA1907,3695
P11532,DMD_HUMAN,reviewed,Dystrophin,DMD,3685
Q96T58,MINT_HUMAN,reviewed,Msx2-interacting protein (SMART/HDAC1-associated repressor protein) (SPEN homolog),SPEN KIAA0929 MINT SHARP,3664
Q96Q15,SMG1_HUMAN,reviewed,Serine/threonine-protein kinase SMG1 (SMG-1) (hSMG-1) (EC 2.7.11.1) (61E3.4) (Lambda/iota protein kinase C-interacting protein) (Lambda-interacting protein),SMG1 ATX KIAA0421 LIP,3661
O60494,CUBN_HUMAN,reviewed,Cubilin (460 kDa receptor) (Intestinal intrinsic factor receptor) (Intrinsic factor-cobalamin receptor) (Intrinsic factor-vitamin B12 receptor),CUBN IFCR,3623
Q96PZ7,CSMD1_HUMAN,reviewed,CUB and sushi domain-containing protein 1 (CUB and sushi multiple domains protein 1),CSMD1 KIAA1890 UNQ5952/PRO19863,3564
Q9UKN7,MYO15_HUMAN,reviewed,Unconventional myosin-XV (Unconventional myosin-15),MYO15A MYO15,3530
Q8IZQ1,WDFY3_HUMAN,reviewed,WD repeat and FYVE domain-containing protein 3 (Autophagy-linked FYVE protein) (Alfy),WDFY3 KIAA0993,3526
P46939,UTRN_HUMAN,reviewed,Utrophin (Dystrophin-related protein 1) (DRP-1),UTRN DMDL DRP1,3433
P51587,BRCA2_HUMAN,reviewed,Breast cancer type 2 susceptibility protein (Fanconi anemia group D1 protein),BRCA2 FACD FANCD1,3418
A4UGR9,XIRP2_HUMAN,reviewed,Xin actin-binding repeat-containing protein 2 (Beta-xin) (Cardiomyopathy-associated protein 3) (Xeplin),XIRP2 CMYA3,3374
Q9H251,CAD23_HUMAN,reviewed,Cadherin-23 (Otocadherin),CDH23 KIAA1774 KIAA1812 UNQ1894/PRO4340,3354
Q15772,SPEG_HUMAN,reviewed,Striated muscle preferentially expressed protein kinase (EC 2.7.11.1) (Aortic preferentially expressed protein 1) (APEG-1),SPEG APEG1 KIAA1297,3267
P46013,KI67_HUMAN,reviewed,Proliferation marker protein Ki-67 (Antigen identified by monoclonal antibody Ki-67) (Antigen KI-67) (Antigen Ki67),MKI67,3256
Q6ZRS2,SRCAP_HUMAN,reviewed,Helicase SRCAP (EC 3.6.4.-) (Domino homolog 2) (Snf2-related CBP activator),SRCAP KIAA0309,3230
P49792,RBP2_HUMAN,reviewed,E3 SUMO-protein ligase RanBP2 (EC 2.3.2.-) (358 kDa nucleoporin) (Nuclear pore complex protein Nup358) (Nucleoporin Nup358) (Ran-binding protein 2) (RanBP2) (p270),RANBP2 NUP358,3224
P12111,CO6A3_HUMAN,reviewed,Collagen alpha-3(VI) chain,COL6A3,3177
P42858,HD_HUMAN,reviewed,"Huntingtin (Huntington disease protein) (HD protein) [Cleaved into: Huntingtin, myristoylated N-terminal fragment]",HTT HD IT15,3142
O60673,REV3L_HUMAN,reviewed,DNA polymerase zeta catalytic subunit (EC 2.7.7.7) (Protein reversionless 3-like) (REV3-like) (hREV3),REV3L POLZ REV3,3130
P24043,LAMA2_HUMAN,reviewed,Laminin subunit alpha-2 (Laminin M chain) (Laminin-12 subunit alpha) (Laminin-2 subunit alpha) (Laminin-4 subunit alpha) (Merosin heavy chain),LAMA2 LAMM,3122
Q5VT06,CE350_HUMAN,reviewed,Centrosome-associated protein 350 (Cep350) (Centrosome-associated protein of 350 kDa),CEP350 CAP350 KIAA0480 GM133,3117
O75962,TRIO_HUMAN,reviewed,Triple functional domain protein (EC 2.7.11.1) (PTPRF-interacting protein),TRIO,3097
Q13315,ATM_HUMAN,reviewed,Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated) (A-T mutated),ATM,3056
Q12830,BPTF_HUMAN,reviewed,Nucleosome-remodeling factor subunit BPTF (Bromodomain and PHD finger-containing transcription factor) (Fetal Alz-50 clone 1 protein) (Fetal Alzheimer antigen),BPTF FAC1 FALZ,3046
H0Y786,H0Y786_HUMAN,unreviewed,Nebulin (Fragment),NEB,3007
Q9P2D1,CHD7_HUMAN,reviewed,Chromodomain-helicase-DNA-binding protein 7 (CHD-7) (EC 3.6.4.12) (ATP-dependent helicase CHD7),CHD7 KIAA1416,2997
O60229,KALRN_HUMAN,reviewed,Kalirin (EC 2.7.11.1) (Huntingtin-associated protein-interacting protein) (Protein Duo) (Serine/threonine-protein kinase with Dbl- and pleckstrin homology domain),KALRN DUET DUO HAPIP TRAD,2986
Q9NR48,ASH1L_HUMAN,reviewed,Histone-lysine N-methyltransferase ASH1L (EC 2.1.1.359) (EC 2.1.1.367) (ASH1-like protein) (huASH1) (Absent small and homeotic disks protein 1 homolog) (Lysine N-methyltransferase 2H),ASH1L KIAA1420 KMT2H,2969
Q8NFP9,NBEA_HUMAN,reviewed,Neurobeachin (Lysosomal-trafficking regulator 2) (Protein BCL8B),NBEA BCL8B KIAA1544 LYST2,2946
P35555,FBN1_HUMAN,reviewed,Fibrillin-1 [Cleaved into: Asprosin],FBN1 FBN,2871
P15924,DESP_HUMAN,reviewed,Desmoplakin (DP) (250/210 kDa paraneoplastic pemphigus antigen),DSP,2871
P50851,LRBA_HUMAN,reviewed,Lipopolysaccharide-responsive and beige-like anchor protein (Beige-like protein) (CDC4-like protein),LRBA BGL CDC4L LBA,2863
P25054,APC_HUMAN,reviewed,Adenomatous polyposis coli protein (Protein APC) (Deleted in polyposis 2.5),APC DP2.5,2843
P21359,NF1_HUMAN,reviewed,Neurofibromin (Neurofibromatosis-related protein NF-1) [Cleaved into: Neurofibromin truncated],NF1,2839
Q12802,AKP13_HUMAN,reviewed,A-kinase anchor protein 13 (AKAP-13) (AKAP-Lbc) (Breast cancer nuclear receptor-binding auxiliary protein) (Guanine nucleotide exchange factor Lbc) (Human thyroid-anchoring protein 31) (Lymphoid blast crisis oncogene) (LBC oncogene) (Non-oncogenic Rho GTPase-specific GTP exchange factor) (Protein kinase A-anchoring protein 13) (PRKA13) (p47),AKAP13 BRX HT31 LBC,2813
P04275,VWF_HUMAN,reviewed,von Willebrand factor (vWF) [Cleaved into: von Willebrand antigen 2 (von Willebrand antigen II)],VWF F8VWF,2813
Q6KC79,NIPBL_HUMAN,reviewed,Nipped-B-like protein (Delangin) (SCC2 homolog),NIPBL IDN3 SCC2,2804
O95071,UBR5_HUMAN,reviewed,"E3 ubiquitin-protein ligase UBR5 (EC 2.3.2.26) (E3 ubiquitin-protein ligase, HECT domain-containing 1) (HECT-type E3 ubiquitin transferase UBR5) (Hyperplastic discs protein homolog) (hHYD) (Progestin-induced protein)",UBR5 EDD EDD1 HYD KIAA0896,2799
Q9NT68,TEN2_HUMAN,reviewed,"Teneurin-2 (Ten-2) (Protein Odd Oz/ten-m homolog 2) (Tenascin-M2) (Ten-m2) (Teneurin transmembrane protein 2) [Cleaved into: Ten-2, soluble form; Ten-2 intracellular domain (Ten-2 ICD)]",TENM2 KIAA1127 ODZ2 TNM2,2774
P01266,THYG_HUMAN,reviewed,Thyroglobulin (Tg),TG,2768
Q9UQ35,SRRM2_HUMAN,reviewed,Serine/arginine repetitive matrix protein 2 (300 kDa nuclear matrix antigen) (Serine/arginine-rich splicing factor-related nuclear matrix protein of 300 kDa) (SR-related nuclear matrix protein of 300 kDa) (Ser/Arg-related nuclear matrix protein of 300 kDa) (Splicing coactivator subunit SRm300) (Tax-responsive enhancer element-binding protein 803) (TaxREB803),SRRM2 KIAA0324 SRL300 SRM300 HSPC075,2752
Q14315,FLNC_HUMAN,reviewed,Filamin-C (FLN-C) (FLNc) (ABP-280-like protein) (ABP-L) (Actin-binding-like protein) (Filamin-2) (Gamma-filamin),FLNC ABPL FLN2,2725
O60281,ZN292_HUMAN,reviewed,Zinc finger protein 292,ZNF292 KIAA0530,2723
P15822,ZEP1_HUMAN,reviewed,Zinc finger protein 40 (Cirhin interaction protein) (CIRIP) (Gate keeper of apoptosis-activating protein) (GAAP) (Human immunodeficiency virus type I enhancer-binding protein 1) (HIV-EP1) (Major histocompatibility complex-binding protein 1) (MBP-1) (Positive regulatory domain II-binding factor 1) (PRDII-BF1),HIVEP1 ZNF40,2718
Q8TD26,CHD6_HUMAN,reviewed,Chromodomain-helicase-DNA-binding protein 6 (CHD-6) (EC 3.6.4.12) (ATP-dependent helicase CHD6) (Radiation-induced gene B protein),CHD6 CHD5 KIAA1335 RIGB,2715
Q9UMN6,KMT2B_HUMAN,reviewed,Histone-lysine N-methyltransferase 2B (Lysine N-methyltransferase 2B) (EC 2.1.1.364) (Myeloid/lymphoid or mixed-lineage leukemia protein 4) (Trithorax homolog 2) (WW domain-binding protein 7) (WBP-7),KMT2B HRX2 KIAA0304 MLL2 MLL4 TRX2 WBP7,2715
Q02224,CENPE_HUMAN,reviewed,Centromere-associated protein E (Centromere protein E) (CENP-E) (Kinesin-7) (Kinesin-related protein CENPE),CENPE,2701
Q96L73,NSD1_HUMAN,reviewed,"Histone-lysine N-methyltransferase, H3 lysine-36 specific (EC 2.1.1.357) (Androgen receptor coactivator 267 kDa protein) (Androgen receptor-associated protein of 267 kDa) (H3-K36-HMTase) (Lysine N-methyltransferase 3B) (Nuclear receptor-binding SET domain-containing protein 1) (NR-binding SET domain-containing protein)",NSD1 ARA267 KMT3B,2696
Q14573,ITPR3_HUMAN,reviewed,"Inositol 1,4,5-trisphosphate receptor type 3 (IP3 receptor isoform 3) (IP3R 3) (InsP3R3) (Type 3 inositol 1,4,5-trisphosphate receptor) (Type 3 InsP3 receptor)",ITPR3,2671
P21333,FLNA_HUMAN,reviewed,Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin),FLNA FLN FLN1,2647
Q13535,ATR_HUMAN,reviewed,Serine/threonine-protein kinase ATR (EC 2.7.11.1) (Ataxia telangiectasia and Rad3-related protein) (FRAP-related protein 1),ATR FRP1,2644
A6H8Y1,BDP1_HUMAN,reviewed,Transcription factor TFIIIB component B'' homolog (Transcription factor IIIB 150) (TFIIIB150) (Transcription factor-like nuclear regulator),BDP1 KIAA1241 KIAA1689 TFNR,2624
O15021,MAST4_HUMAN,reviewed,Microtubule-associated serine/threonine-protein kinase 4 (EC 2.7.11.1),MAST4 KIAA0303,2623
Q9ULT8,HECD1_HUMAN,reviewed,E3 ubiquitin-protein ligase HECTD1 (EC 2.3.2.26) (E3 ligase for inhibin receptor) (EULIR) (HECT domain-containing protein 1) (HECT-type E3 ubiquitin transferase HECTD1),HECTD1 KIAA1131,2610
O75369,FLNB_HUMAN,reviewed,Filamin-B (FLN-B) (ABP-278) (ABP-280 homolog) (Actin-binding-like protein) (Beta-filamin) (Filamin homolog 1) (Fh1) (Filamin-3) (Thyroid autoantigen) (Truncated actin-binding protein) (Truncated ABP),FLNB FLN1L FLN3 TABP TAP,2602
O75417,DPOLQ_HUMAN,reviewed,DNA polymerase theta (EC 2.7.7.7) (DNA polymerase eta),POLQ POLH,2590
Q9HCK8,CHD8_HUMAN,reviewed,Chromodomain-helicase-DNA-binding protein 8 (CHD-8) (EC 3.6.4.12) (ATP-dependent helicase CHD8) (Helicase with SNF2 domain 1),CHD8 HELSNF1 KIAA1564,2581
Q9HCE0,EPG5_HUMAN,reviewed,Ectopic P granules protein 5 homolog,EPG5 KIAA1632,2579
Q9BYW2,SETD2_HUMAN,reviewed,Histone-lysine N-methyltransferase SETD2 (EC 2.1.1.359) (HIF-1) (Huntingtin yeast partner B) (Huntingtin-interacting protein 1) (HIP-1) (Huntingtin-interacting protein B) (Lysine N-methyltransferase 3A) (Protein-lysine N-methyltransferase SETD2) (EC 2.1.1.-) (SET domain-containing protein 2) (hSET2) (p231HBP),SETD2 HIF1 HYPB KIAA1732 KMT3A SET2 HSPC069,2564
P46531,NOTC1_HUMAN,reviewed,Neurogenic locus notch homolog protein 1 (Notch 1) (hN1) (Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)],NOTCH1 TAN1,2555
Q93008,USP9X_HUMAN,reviewed,"Probable ubiquitin carboxyl-terminal hydrolase FAF-X (EC 3.4.19.12) (Deubiquitinating enzyme FAF-X) (Fat facets in mammals) (hFAM) (Fat facets protein-related, X-linked) (Ubiquitin thioesterase FAF-X) (Ubiquitin-specific protease 9, X chromosome) (Ubiquitin-specific-processing protease FAF-X)",USP9X DFFRX FAM USP9,2554
Q8WWQ8,STAB2_HUMAN,reviewed,"Stabilin-2 (FAS1 EGF-like and X-link domain-containing adhesion molecule 2) (Fasciclin, EGF-like, laminin-type EGF-like and link domain-containing scavenger receptor 2) (FEEL-2) (Hyaluronan receptor for endocytosis) [Cleaved into: 190 kDa form stabilin-2 (190 kDa hyaluronan receptor for endocytosis)]",STAB2 FEEL2 FELL FEX2 HARE,2551
P42345,MTOR_HUMAN,reviewed,Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1),MTOR FRAP FRAP1 FRAP2 RAFT1 RAPT1,2549
Q9Y4G6,TLN2_HUMAN,reviewed,Talin-2,TLN2 KIAA0320,2542
Q9Y490,TLN1_HUMAN,reviewed,Talin-1,TLN1 KIAA1027 TLN,2541
Q15652,JHD2C_HUMAN,reviewed,Probable JmjC domain-containing histone demethylation protein 2C (EC 1.14.11.-) (Jumonji domain-containing protein 1C) (Thyroid receptor-interacting protein 8) (TR-interacting protein 8) (TRIP-8),JMJD1C JHDM2C KIAA1380 TRIP8,2540
Q8TEP8,CE192_HUMAN,reviewed,Centrosomal protein of 192 kDa (Cep192) (Cep192/SPD-2),CEP192 KIAA1569 PP8407,2537
P16112,PGCA_HUMAN,reviewed,Aggrecan core protein (Cartilage-specific proteoglycan core protein) (CSPCP) (Chondroitin sulfate proteoglycan core protein 1) (Chondroitin sulfate proteoglycan 1) [Cleaved into: Aggrecan core protein 2],ACAN AGC1 CSPG1 MSK16,2530
Q5S007,LRRK2_HUMAN,reviewed,Leucine-rich repeat serine/threonine-protein kinase 2 (EC 2.7.11.1) (EC 3.6.5.-) (Dardarin),LRRK2 PARK8,2527
Q8IWT3,CUL9_HUMAN,reviewed,Cullin-9 (CUL-9) (UbcH7-associated protein 1) (p53-associated parkin-like cytoplasmic protein),CUL9 H7AP1 KIAA0708 PARC,2517
Q9Y618,NCOR2_HUMAN,reviewed,"Nuclear receptor corepressor 2 (N-CoR2) (CTG repeat protein 26) (SMAP270) (Silencing mediator of retinoic acid and thyroid hormone receptor) (SMRT) (T3 receptor-associating factor) (TRAC) (Thyroid-, retinoic-acid-receptor-associated corepressor)",NCOR2 CTG26,2514
P49327,FAS_HUMAN,reviewed,Fatty acid synthase (EC 2.3.1.85) (Type I fatty acid synthase) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)],FASN FAS,2511
O00555,CAC1A_HUMAN,reviewed,"Voltage-dependent P/Q-type calcium channel subunit alpha-1A (Brain calcium channel I) (BI) (Calcium channel, L type, alpha-1 polypeptide isoform 4) (Voltage-gated calcium channel subunit alpha Cav2.1)",CACNA1A CACH4 CACN3 CACNL1A4,2506
Q96JM2,ZN462_HUMAN,reviewed,Zinc finger protein 462 (Zinc finger PBX1-interacting protein) (ZFPIP),ZNF462 KIAA1803,2506
P46100,ATRX_HUMAN,reviewed,Transcriptional regulator ATRX (EC 3.6.4.12) (ATP-dependent helicase ATRX) (X-linked helicase II) (X-linked nuclear protein) (XNP) (Znf-HX),ATRX RAD54L XH2,2492
P11717,MPRI_HUMAN,reviewed,Cation-independent mannose-6-phosphate receptor (CI Man-6-P receptor) (CI-MPR) (M6PR) (300 kDa mannose 6-phosphate receptor) (MPR 300) (Insulin-like growth factor 2 receptor) (Insulin-like growth factor II receptor) (IGF-II receptor) (M6P/IGF2 receptor) (M6P/IGF2R) (CD antigen CD222),IGF2R MPRI,2491
Q8IVL1,NAV2_HUMAN,reviewed,Neuron navigator 2 (EC 3.6.4.12) (Helicase APC down-regulated 1) (Pore membrane and/or filament-interacting-like protein 2) (Retinoic acid inducible in neuroblastoma 1) (Steerin-2) (Unc-53 homolog 2) (unc53H2),NAV2 HELAD1 KIAA1419 POMFIL2 RAINB1 STEERIN2,2488
Q12923,PTN13_HUMAN,reviewed,Tyrosine-protein phosphatase non-receptor type 13 (EC 3.1.3.48) (Fas-associated protein-tyrosine phosphatase 1) (FAP-1) (PTP-BAS) (Protein-tyrosine phosphatase 1E) (PTP-E1) (hPTPE1) (Protein-tyrosine phosphatase PTPL1),PTPN13 PNP1 PTP1E PTPL1,2485
P02751,FINC_HUMAN,reviewed,Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3],FN1 FN,2477
Q13813,SPTN1_HUMAN,reviewed,"Spectrin alpha chain, non-erythrocytic 1 (Alpha-II spectrin) (Fodrin alpha chain) (Spectrin, non-erythroid alpha subunit)",SPTAN1 NEAS SPTA2,2472
Q04721,NOTC2_HUMAN,reviewed,Neurogenic locus notch homolog protein 2 (Notch 2) (hN2) [Cleaved into: Notch 2 extracellular truncation (N2ECD); Notch 2 intracellular domain (N2ICD)],NOTCH2,2471
O00763,ACACB_HUMAN,reviewed,Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta),ACACB ACC2 ACCB,2458
Q9BV73,CP250_HUMAN,reviewed,Centrosome-associated protein CEP250 (250 kDa centrosomal protein) (Cep250) (Centrosomal Nek2-associated protein 1) (C-Nap1) (Centrosomal protein 2),CEP250 CEP2 CNAP1,2442
Q92793,CBP_HUMAN,reviewed,CREB-binding protein (Histone lysine acetyltransferase CREBBP) (EC 2.3.1.48) (Protein-lysine acetyltransferase CREBBP) (EC 2.3.1.-),CREBBP CBP,2442
O75376,NCOR1_HUMAN,reviewed,Nuclear receptor corepressor 1 (N-CoR) (N-CoR1),NCOR1 KIAA1047,2440
P02549,SPTA1_HUMAN,reviewed,"Spectrin alpha chain, erythrocytic 1 (Erythroid alpha-spectrin)",SPTA1 SPTA,2419
